,LEAP_ID,EmbeddingMethod,Silhouette,ARI_with_stamp,NMI_with_stamp,ARI_with_miso_hne,NMI_with_miso_hne,ARI_with_miso,NMI_with_miso
155,LEAP-035B,miso,0.0035053913,0.17473376665599785,0.35208220941227863,,,,
156,LEAP-036A,uni,0.038700584,0.060657365507148724,0.13935677913851222,0.16935525769600146,0.30435983253371796,0.146354910704113,0.30435983253371796
157,LEAP-036A,miso_hne,0.09993057,0.06772384703982709,0.22295193371180078,,0.437990840076507,0.2348741758992599,0.437990840076507
158,LEAP-036A,miso,0.046378534,0.18801042318162733,0.3453266706086932,,,,
159,LEAP-036B,uni,0.040008303,0.10324366814647296,0.24234382438379146,0.2158475561705742,0.34991614845498115,0.1866252130120289,0.34991614845498115
160,LEAP-036B,miso_hne,0.05658434,0.13485691193718125,0.3141781738451538,,0.5173095727525826,0.3084731057195841,0.5173095727525826
161,LEAP-036B,miso,0.028983507,0.2401393028182835,0.4268376346533895,,,,
162,LEAP-037B,uni,0.03534163,0.11434126088845142,0.20249700453367028,0.1624998135122822,0.33328726931520686,0.17495696232214927,0.33328726931520686
163,LEAP-037B,miso_hne,0.058614023,0.08263525599633519,0.28253728810795353,,0.7146599315660644,0.6096963664621777,0.7146599315660644
164,LEAP-037B,miso,0.03230183,0.0882015640185129,0.33193731028274076,,,,
165,LEAP-038A,uni,0.046630748,0.12459937728972824,0.23386446927429239,0.26338322757691063,0.44688658617274946,0.282954803509307,0.44688658617274946
166,LEAP-038A,miso_hne,0.067993805,0.06903581449588027,0.21062274874228673,,0.4980109061403326,0.30033226302425914,0.4980109061403326
167,LEAP-038A,miso,0.04283487,0.13011380772622955,0.33789211204279734,,,,
168,LEAP-038B,uni,0.026612176,0.044122816056699626,0.13841575225295177,0.15812151286189668,0.2821578999973133,0.1375164439159671,0.2821578999973133
169,LEAP-038B,miso_hne,0.05899628,0.057420563434813464,0.21673848676570184,,0.5929126975168464,0.47346089358791876,0.5929126975168464
170,LEAP-038B,miso,0.018268043,0.07907472865700144,0.30506504005080065,,,,
171,LEAP-039A,uni,0.0505386,0.10932187772994643,0.29468985985360435,0.21454916056191706,0.39865948923962713,0.23539459045940106,0.39865948923962713
172,LEAP-039A,miso_hne,0.06335186,0.0883844168760193,0.27907309607955727,,0.5875088402324822,0.3906760612453156,0.5875088402324822
173,LEAP-039A,miso,0.033682786,0.13678296063139334,0.40911049713745057,,,,
174,LEAP-039B,uni,0.04774047,0.06573925475176516,0.21350617946671016,0.2147235683537991,0.3864849906532824,0.22193832136947025,0.3864849906532824
175,LEAP-039B,miso_hne,0.06602771,0.05896477757818732,0.2217901202752921,,0.47363048199508095,0.2793903855557972,0.47363048199508095
176,LEAP-039B,miso,0.054292094,0.12605815966051204,0.32544081461556323,,,,
177,LEAP-041A,uni,0.050913047,0.2604078402992293,0.2995557178942752,0.3248416379744531,0.47335516345195777,0.3437482466321306,0.47335516345195777
178,LEAP-041A,miso_hne,0.11627083,0.20263654317757532,0.3336573579027531,,0.6300917446968908,0.49962054005064194,0.6300917446968908
179,LEAP-041A,miso,0.06665268,0.22384525193390953,0.4024141318001865,,,,
180,LEAP-041B,uni,0.0507015,0.051216751345332004,0.15591717712168268,0.18090124889488865,0.3283074979600438,0.15359258835077252,0.3283074979600438
